id.condition,strides,drops,strides.cut,strides.new.length,h.original,h.random,h.contiguous
S001_G01_D01_B03_T01,213,0.1,21,192,0.944994697386394,0.958933398999212,0.955734525088905
S001_G01_D01_B03_T02,211,0.1,21,190,0.817482066307666,0.896102755376234,0.8228936246111
S001_G01_D01_B03_T03,212,0.1,21,191,0.930941848799532,0.921586849007371,0.93101245754679
S001_G01_D02_B01_T01,208,0.1,20,188,0.558322637019048,0.552160095540025,0.570167554935596
S001_G01_D02_B01_T02,209,0.1,20,189,0.718667730958823,0.728373963434597,0.747457045446576
S001_G01_D02_B01_T03,210,0.1,21,189,0.671516089274097,0.666837663403561,0.683579570157993
S001_G01_D02_B02_T01,212,0.1,21,191,0.783617760716582,0.776639545650817,0.80873748281853
S001_G01_D02_B02_T02,212,0.1,21,191,0.797826440231713,0.787817449196072,0.803071291996232
S001_G01_D02_B02_T03,213,0.1,21,192,0.808112221181497,0.81469008485944,0.813795982979048
S001_G01_D02_B03_T01,212,0.1,21,191,0.795625653390424,0.855823590142488,0.83699585679825
S001_G01_D02_B03_T02,212,0.1,21,191,0.823617341150173,0.825138058425987,0.844286907628446
S001_G01_D02_B03_T03,212,0.1,21,191,0.807816862516866,0.814321024204903,0.816425966997096
S002_G01_D01_B01_T01,198,0.1,19,179,0.925279278223663,0.913172818183129,0.954833614449793
S002_G01_D01_B01_T02,196,0.1,19,177,0.937357897221444,0.946333047188197,0.938774067450104
S002_G01_D01_B01_T03,193,0.1,19,174,0.955351012726641,0.936208152034514,0.916261338710097
S002_G01_D01_B02_T01,194,0.1,19,175,0.927557812064474,0.932739169168043,0.93683296706605
S002_G01_D01_B02_T02,197,0.1,19,178,0.927006429479463,0.916640100602657,0.939908865527165
S002_G01_D01_B02_T03,197,0.1,19,178,0.894905414405191,0.888685396053535,0.902342423440276
S002_G01_D01_B03_T01,195,0.1,19,176,0.83025865533972,0.842547256530772,0.853992547108785
S002_G01_D01_B03_T02,194,0.1,19,175,0.820521205557996,0.814755040166671,0.825002764379608
S002_G01_D01_B03_T03,194,0.1,19,175,0.80137258360849,0.797919448498561,0.794560642882772
S002_G01_D02_B01_T01,198,0.1,19,179,0.958351555688634,0.96150561150583,0.963688361712441
S002_G01_D02_B01_T02,198,0.1,19,179,0.856839894161411,0.876793237871298,0.867311283147252
S002_G01_D02_B01_T03,198,0.1,19,179,0.920013342590084,0.947263243715524,0.912304041762188
